retained_data,mean,std
0.5,82.37751333962768,1.2
0.6,81.29736671796819,1.0
0.7,79.82695138171496,1.0
0.8,79.00445952639875,0.6
0.9,77.87282433308359,0.8
1.0,77.21169988706856,1.1
